captured_date,market,market_name,chart,period_suffix,rank,image_url,video_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-09-26,th,Thailand,top_songs_weekly,,78,https://yt3.googleusercontent.com/zecZX7esiEVNexGLDY9eCMp7UoBm7uFyRjHmXzFcbNUBTAXp0mQIiIFZFWiSJrlwgye1GwA1nmjGS3H7QQ=w180-h180-l90-rj,,ใกล้เกินไป,Yes'sir days,,,ใกล้เกินไป Yes'sir days
2026-09-26,th,Thailand,top_songs_weekly,,79,https://yt3.googleusercontent.com/wXkXjlcs3VQ09JqQaLbmd-XAwvoZ0Kxsy5h3jbA2hGyAaw_XMWMzVxze2CWrYFfQRAwnktCoev7-uJaz=w180-h180-l90-rj,,The One That Got Away,Katy Perry,,,The One That Got Away Katy Perry
2026-09-26,th,Thailand,top_songs_weekly,,80,https://yt3.googleusercontent.com/VQ1Qzr6FI1hQq85SN9xuLni9up4LjlUwmOVS_5DrpFGHD7ZvptZdS9V-ea1v_pnhM0AkNnJb7x_HHiW5=w180-h180-l90-rj,,Klapklai,อ.ไข่ มาลีฮวนน่า,,,Klapklai อ.ไข่ มาลีฮวนน่า
2026-09-26,th,Thailand,top_songs_weekly,,81,https://yt3.googleusercontent.com/JE98xaB9OHWlIsdNr6nxV6TL8mpM7Pite1DDvTA7sXbVcwqAWe6P31G5l8GC-Kw8SgyCpG2FfXFcbvqQ=w180-h180-l90-rj,,ขอตายในอ้อมกอดเธอ,Sek Loso,,,ขอตายในอ้อมกอดเธอ Sek Loso
2026-09-26,th,Thailand,top_songs_weekly,,82,https://yt3.googleusercontent.com/d-YnaB3hPptgm1UtFssuTqQsTFLS4TKbUAMqbHDrgHaI4j9-MbQZCUsol-Oa7ovcSUx6UIJ9hcNwbb4G=w180-h180-l90-rj,,วาสนาหมาหย่ำรถ,Tar TorJorWor,,,วาสนาหมาหย่ำรถ Tar TorJorWor
2026-09-26,th,Thailand,top_songs_weekly,,83,https://yt3.googleusercontent.com/JjlKTGv9-xNn-SloVpnUxhq2RLQ-Qw8l8FmivS5i5lJkvxakiTXPMxuCDg7HvfI0fJmRykKy5VehREzE=w180-h180-l90-rj,,ทำใจไม่ได้ (feat. BLVCKHEART),Z9,,,ทำใจไม่ได้ (feat. BLVCKHEART) Z9
2026-09-26,th,Thailand,top_songs_weekly,,84,https://yt3.googleusercontent.com/TZtusfDvmU1PBtkTenIXfx5FeSF2ONnGn4drMqMwwNuwxDYVwDBWpmU36FROENIcdHXjUoFo2Mr9jc7o0Q=w180-h180-l90-rj,,ใจสั่งมา,Loso,"10月 7, 1999",661949,"84 13 ใจสั่งมา Loso 10月 7, 1999 71 12 661,949"
2026-09-26,th,Thailand,top_songs_weekly,,85,https://yt3.googleusercontent.com/eixi7dc2auxIK0M7pm3n8Y3nabbzPI-YNSA154G-kTE6NB8YGdscX4dn2lONDSW7NZJQ9CjfDGnqQx8G=w180-h180-l90-rj,,สายไป (feat. BLVCKHEART),9tokyo,,,สายไป (feat. BLVCKHEART) 9tokyo
2026-09-26,th,Thailand,top_songs_weekly,,86,https://yt3.googleusercontent.com/rPiXUO1vpFfO1YSr1XmDHCx8MMJyvHbqeFYp9_YknA3pCcC8v2NPGPLaOr3ZMy5vJ48BeovjxAmRHJYZ=w180-h180-l90-rj,,ขอให้เธอมีสุข,หนึ่ง บีเคแบนด์,,,ขอให้เธอมีสุข หนึ่ง บีเคแบนด์
2026-09-26,th,Thailand,top_songs_weekly,,87,https://yt3.googleusercontent.com/LhYizxWM9t7fXrT6VCKOHCv9aMHogqkRNhOYVJScgaVQ8-nMj4u2J1x_c7IPfHlWG2iV-6dqdHGob8rh=w180-h180-l90-rj,,ซบที่ไหล่ (feat. Sakarin),KRK,,,ซบที่ไหล่ (feat. Sakarin) KRK
2026-09-26,th,Thailand,top_songs_weekly,,88,https://yt3.googleusercontent.com/jV8jkowKVTROFvGdWg4g5iXbZ7YmKcXM71yLW3V3MEczUZ7JxLKFPBRpi5goA6kh9oGeIHsh8T1Wltc=w180-h180-l90-rj,,ဤသို့ပြုရ,Theinkpan Htun,,,ဤသို့ပြုရ Theinkpan Htun
2026-09-26,th,Thailand,top_songs_weekly,,89,https://yt3.googleusercontent.com/3PxyghyAYY630E4UMmpOo4YRpOKOf83udfxb9BbJcwM4I8Uke7YEwqfhGfVBuWXg3tOfGPGKF0RV1rM=w180-h180-l90-rj,,หวังเหวิดจัง(สากลัว),เมนทอล,,,หวังเหวิดจัง(สากลัว) เมนทอล
2026-09-26,th,Thailand,top_songs_weekly,,90,https://yt3.googleusercontent.com/uY85QN1f-lL7ZvLQ0HzFXFNrLRg9eqxy6-8zN28Txuc3t5CBR2mvENTCDanQld2j48LitFws3h9S5BY=w180-h180-l90-rj,,สิทธิ์ของเจ้า,埋代•話摘星,,,สิทธิ์ของเจ้า 埋代•話摘星
2026-09-26,th,Thailand,top_songs_weekly,,91,https://yt3.googleusercontent.com/sm9gz2XQFzc-Gp7qsQzIJGuIsowoyVI43ki4048evRTzCi8IN2FcTyv42YttCDRH-93amTRkG05hqnOK=w180-h180-l90-rj,,Earrings,Malcolm Todd,,,Earrings Malcolm Todd
